titre,resume,departement,niveau
"Conception d'un système IoT pour la gestion énergétique","Ce mémoire propose la conception d'un système IoT permettant de surveiller et optimiser la consommation énergétique dans les bâtiments intelligents. L'étude inclut la sélection des capteurs, la transmission des données et l'analyse via une plateforme cloud.","Génie Informatique","intermédiaire"
"Développement d'une application mobile pour l'apprentissage du Python","Application mobile éducative destinée aux débutants en programmation Python. Inclut des exercices interactifs, un suivi de progression et des explications en langage simple.","Génie Informatique","débutant"
"Étude de la cybersécurité dans les réseaux industriels","Analyse des vulnérabilités dans les systèmes SCADA et propositions de contre-mesures adaptées aux environnements industriels.","Génie Informatique","intermédiaire"
"Optimisation des algorithmes de routage dans les réseaux VANET","Recherche sur l'amélioration des protocoles de communication entre véhicules pour réduire la latence et augmenter la fiabilité.","Génie Informatique","intermédiaire"
"Réalisation d'un système de reconnaissance faciale avec Raspberry Pi","Projet pratique de mise en œuvre d'un système de reconnaissance faciale à faible coût utilisant Python et OpenCV.","Génie Informatique","débutant"
"Conception d'un pont en zone sismique","Étude des contraintes sismiques et proposition de solutions structurales innovantes pour les ponts dans les zones à haut risque.","Génie Civil","intermédiaire"
"Analyse du comportement des matériaux composites","Caractérisation mécanique et modélisation du comportement de matériaux composites sous différentes sollicitations.","Génie Civil","intermédiaire"
"Système de contrôle automatique pour éclairage public","Conception d'un système basé sur Arduino pour optimiser l'éclairage public selon la présence piétonne et les conditions météo.","Génie Électrique","débutant"
"Étude des ondes électromagnétiques en milieu urbain","Analyse de la propagation des ondes radio dans les environnements urbains et optimisation des réseaux sans fil.","Génie Électronique","intermédiaire"
"Conception d'une éolienne domestique verticale","Dimensionnement et modélisation d'une éolienne à axe vertical adaptée aux zones résidentielles.","Génie Mécanique","intermédiaire"
"Développement d'un chatbot médical intelligent","Création d'un assistant conversationnel utilisant le NLP pour répondre aux questions basiques sur la santé.","Génie Informatique","intermédiaire"
"Sécurisation des applications web contre les injections SQL","Étude des vulnérabilités SQL et mise en place de mécanismes de défense dans les applications PHP et Python.","Génie Informatique","débutant"
"Réalisation d'un robot suiveur de ligne avec intelligence artificielle","Projet intégrant la vision par ordinateur et l'apprentissage automatique pour créer un robot autonome.","Génie Informatique","débutant"
"Analyse prédictive des défaillances structurelles","Utilisation du machine learning pour prédire les risques de fissuration dans les structures en béton armé.","Génie Civil","intermédiaire"
"Automatisation d'un système d'irrigation agricole","Conception d'un système IoT pour optimiser l'irrigation en fonction de l'humidité du sol et des prévisions météo.","Génie Électrique","débutant"
